"token","n","joy","anger","anticipation","disgust","fear","sadness","surprise","trust","negative","positive"
"abismo",2,0,0,0,0,1,1,0,0,1,0
"ablacion",1,0,0,0,0,0,0,0,0,0,0
"abogacia",1,1,1,1,0,0,0,0,1,0,1
"abogado",4,0,1,0,1,1,0,0,1,1,1
"abolicion",1,0,0,0,0,0,0,0,0,1,0
"abolir",1,0,1,0,0,0,0,0,0,1,0
"abollado",1,0,0,0,0,1,1,0,0,1,0
"abominable",1,0,0,0,1,1,0,0,0,1,0
"abominacion",1,0,1,0,1,1,0,0,0,1,0
"abonar",1,0,0,0,0,0,0,0,0,0,0
"abordar",2,0,1,0,0,0,0,1,0,0,0
"aborigen",1,0,0,0,0,0,0,0,0,0,0
"aborrecer",1,0,1,0,1,1,0,0,0,1,0
"aborrecible",1,0,1,0,1,1,0,0,0,1,0
"abortar",1,0,0,0,0,0,0,0,0,1,0
"abortivo",1,0,0,0,0,0,1,0,0,1,0
"aborto",1,0,0,0,1,1,1,0,0,1,0
"aborto espontaneo",1,0,0,0,0,1,1,0,0,1,0
"abovedado",2,0,0,0,0,0,0,0,0,0,0
"abrasador",1,0,1,0,0,0,0,0,0,1,0
"abrasion",1,0,0,0,0,0,0,0,0,1,0
"abrazadera",2,0,0,0,0,0,0,0,0,0,0
"abrazar",1,1,0,1,0,0,0,1,1,0,1
"abrazo",2,1,0,0,0,0,0,0,1,0,1
"abrelatas",1,0,0,0,0,0,0,0,0,0,0
"abreviar",1,0,0,0,0,0,0,0,0,0,0
"abreviatura",1,0,0,0,0,0,0,0,0,0,0
"abrochado",1,0,0,0,0,0,0,0,0,0,0
"abrogar",1,0,0,0,0,0,0,0,0,1,0
"abrumada",1,0,0,0,0,0,1,0,0,1,0
"abrumador",1,0,1,0,0,1,0,0,0,1,0
"abrumar",1,0,0,0,0,0,0,0,0,1,0
"abruptamente",1,0,0,0,0,0,0,0,0,0,0
"abrupto",1,0,0,0,0,0,0,1,0,0,0
"absceso",1,0,0,0,0,0,1,0,0,1,0
"absentismo",1,0,0,0,0,0,0,0,0,1,0
"absolucion",1,1,0,0,0,0,0,0,1,0,1
"absolutamente",1,0,0,0,0,0,0,0,0,0,0
"absoluto",1,0,0,0,0,0,0,0,0,0,1
"absorbente",2,0,0,0,0,0,0,0,0,0,0
"absorbido",1,0,0,0,0,0,0,0,0,0,1
"absorcion",1,0,0,0,0,0,0,0,0,0,0
"absorto",1,0,0,0,0,0,0,0,0,0,0
"abstencion",1,0,0,0,0,0,0,0,0,0,0
"abstenerse",3,0,1,0,1,0,0,0,0,1,0
"absteniendose",1,0,0,0,0,0,0,0,0,0,0
"abstinencia",1,0,0,0,0,0,0,0,0,0,0
"abstraccion",1,0,0,0,0,0,0,0,0,0,0
"absurdo",4,0,0,0,1,0,1,0,0,1,0
"abucheo",1,0,0,0,0,0,0,0,0,1,0
"abuela",1,0,0,0,0,0,0,0,0,0,1
"abuelo",1,0,0,0,0,0,0,0,1,0,0
"abundancia",1,1,0,1,1,0,0,0,1,1,1
"abundancia de nubes",1,0,0,0,0,1,0,0,0,1,0
"abundante",4,1,0,1,0,0,0,0,0,1,1
"abundar",1,0,0,0,0,0,0,0,0,0,0
"aburrido",1,0,0,0,0,0,0,0,0,1,0
"aburrimiento",1,0,0,0,0,0,1,0,0,1,0
"aburrir",1,0,0,0,0,0,0,0,0,1,0
"abuso",1,0,1,0,1,1,1,0,0,1,0
"aby",1,0,0,0,0,0,0,0,0,0,0
"abyecto",1,0,0,0,1,0,0,0,0,1,0
"academia",1,0,0,0,0,0,0,0,0,0,1
"academico",1,0,0,0,0,0,0,0,1,0,1
"acampar",1,0,0,0,0,0,0,0,0,0,0
"acanalado",1,0,0,0,0,0,0,0,0,0,0
"acantilado",1,0,0,0,0,1,0,0,0,0,0
"acarreo",1,0,0,0,0,0,0,0,0,0,0
"acceder a",1,0,0,0,0,0,0,0,0,0,0
"accesible",1,0,0,0,0,0,0,0,0,0,1
"acceso",1,0,0,0,0,0,0,0,0,0,0
"accesorio",2,0,0,0,0,0,0,0,0,0,1
"accesorios",2,0,0,0,0,0,0,0,0,0,0
"accidental",1,0,0,0,0,1,0,1,0,1,0
"accidentalmente",1,0,0,0,0,0,0,1,0,0,0
"accidente",1,0,0,0,0,1,1,1,0,1,0
"accion",1,0,0,0,0,0,0,0,0,0,1
"accion de gracias",1,1,0,0,0,0,0,0,0,0,1
"accionista",1,0,0,0,0,0,0,0,0,0,0
"accueil",1,0,0,0,0,0,0,0,0,0,1
"acechar",2,0,0,0,0,1,0,0,0,1,0
"aceite",1,0,0,0,0,0,0,0,0,0,0
"aceites",1,0,0,0,0,0,0,0,0,0,0
"aceituna",1,0,0,0,0,0,0,0,0,0,0
"aceleracion",1,0,0,0,0,0,0,0,0,0,0
"acelerador",1,0,1,0,0,0,0,0,0,1,0
"acelerar",4,0,0,1,0,0,0,0,0,0,0
"acento",1,0,0,0,0,0,0,0,0,0,0
"acentuar",1,0,0,0,0,0,0,0,0,0,0
"aceptable",1,0,0,0,0,0,0,0,0,0,1
"aceptacion",1,0,0,0,0,0,0,0,0,0,1
"aceptado",1,0,0,0,0,0,0,0,0,0,0
"aceptar",2,0,0,0,0,0,0,0,0,0,1
"acera",1,0,0,0,0,0,0,0,1,0,0
"acercarse",1,0,0,0,0,0,0,0,0,0,0
"acero",1,0,0,0,0,0,0,0,0,0,0
"acetico",1,0,0,0,0,0,0,0,0,0,0
"achaparrado",1,0,0,0,0,0,0,0,0,0,0
"achispado",1,0,0,0,0,0,0,0,0,1,0
"acidez",2,0,0,0,0,0,0,0,0,1,0
"acido",1,0,0,0,0,0,0,0,0,1,0
"aclarar",2,1,0,0,0,0,0,1,1,0,1
"acogedor",1,0,0,0,0,0,0,0,0,0,1
"acomodar",1,0,0,0,0,0,0,0,0,0,0
"acompanamiento",2,1,0,1,0,0,0,0,1,0,1
"acompanar",1,0,0,0,0,0,0,0,0,0,0
"acomplejado",1,0,0,0,0,0,0,0,0,1,0
"acondicionado",1,0,0,0,0,0,0,0,0,0,0
"aconsejable",1,0,0,0,0,0,0,0,1,0,1
"aconsejado",1,0,0,0,0,0,0,0,1,0,0
"acontecer",1,0,0,0,0,0,0,0,0,1,0
"acoplado",1,0,0,0,0,0,0,0,0,0,0
"acordado",1,0,0,0,0,0,0,0,1,0,1
"acordeon",1,0,0,0,0,0,0,0,0,0,0
"acordes",1,0,0,0,0,0,0,0,0,0,0
"acortamiento",1,0,0,0,0,0,0,0,0,0,0
"acortar",3,0,0,0,0,0,0,0,0,0,0
"acosando",1,0,1,0,0,0,0,0,0,0,0
"acosar",2,0,1,0,1,0,0,0,0,1,0
"acoso",1,0,1,0,1,1,1,0,0,1,0
"acostumbrado",2,0,0,0,0,0,0,0,0,0,0
"acre",1,0,0,0,1,0,0,0,0,1,0
"acrecion",1,0,0,0,0,0,0,0,0,0,0
"acreditado",2,0,0,0,0,0,0,0,1,0,1
"acreditando",1,0,0,0,0,0,0,0,0,0,0
"acreedor",1,0,0,0,0,0,0,0,0,0,0
"acreedor hipotecario",1,0,0,0,0,0,0,0,1,0,0
"acribillado",1,0,0,0,0,0,0,0,0,1,0
"acrobata",1,1,0,0,0,1,0,0,1,0,1
"actitud",1,0,0,0,0,0,0,0,0,0,0
"actividad",1,0,0,0,0,0,0,0,0,0,0
"activo",1,0,0,0,0,0,0,0,0,0,0
"activos",1,0,0,0,0,0,0,0,0,0,1
"actor",1,0,0,0,0,0,0,0,0,0,0
"actuacion",1,0,0,0,0,0,0,0,0,0,0
"actual",3,0,0,0,0,0,0,0,0,0,1
"actuar",1,0,0,0,0,0,0,0,0,0,0
"actuario",1,0,0,0,0,0,0,0,0,0,0
"acuario",1,0,0,0,0,0,0,0,0,0,0
"acuatico",1,0,0,0,0,0,0,0,0,0,0
"acueducto",1,0,0,0,0,0,0,0,0,0,0
"acuerdo",3,1,0,1,0,0,0,1,1,0,1
"acumulacion",1,0,0,0,0,0,0,0,0,0,0
"acumular",3,0,0,0,0,0,0,0,0,0,0
"acumularse",1,0,0,0,0,0,0,0,0,0,0
"acuoso",2,0,0,0,0,0,0,0,0,1,0
"acupuntura",1,0,0,0,0,0,0,0,0,0,0
"acusacion",3,0,1,0,1,1,1,0,0,1,0
"acusado",2,0,1,0,0,1,1,0,0,1,0
"acusador",1,0,1,0,0,1,0,0,0,1,0
"acusando",1,0,1,0,0,1,0,0,0,1,0
"acusativo",1,0,0,0,0,0,0,0,0,1,0
"acustica",1,0,0,0,0,0,0,0,0,0,0
"acustico",1,0,0,0,0,0,0,0,0,0,0
"adagio",1,0,0,0,0,0,0,0,0,0,0
"adaptable",1,0,0,0,0,0,0,0,0,0,1
"adaptar",1,0,0,0,0,0,0,0,0,0,1
"adecuacion",1,0,0,0,0,0,0,0,0,0,1
"adecuado",2,1,0,1,0,0,0,0,1,0,1
"adelantar",2,0,0,0,0,0,0,0,0,1,0
"adelante",2,0,0,0,0,0,0,0,0,0,1
"ademas",1,0,0,0,0,0,0,0,0,0,0
"adepto",1,0,0,0,0,0,0,0,0,0,1
"aderezo",1,0,0,0,0,0,0,0,0,0,0
"adeudado",1,0,0,0,0,0,0,0,0,0,0
"adherencia",1,0,0,0,0,0,0,0,0,0,0
"adherente",1,0,0,0,0,0,0,0,0,0,0
"adherido",1,0,0,0,0,0,0,0,1,0,0
"adherirse",3,0,0,0,0,1,0,0,0,0,0
"adhesion",2,0,0,0,0,0,0,0,0,0,0
"adhesivo",1,0,0,0,0,0,0,0,0,0,0
"adiccion",1,0,0,0,0,0,0,0,0,1,0
"adicional",2,0,0,0,0,0,0,0,0,0,0
"adios",3,0,0,1,0,0,0,0,0,0,0
"adiposo",1,0,0,0,0,0,0,0,0,1,0
"aditivo",1,0,0,0,0,0,0,0,0,0,0
"adivinacion",1,0,0,1,0,0,0,0,0,0,0
"adivinanza",1,0,0,0,0,0,0,0,0,0,0
"adivinar",1,0,0,0,0,0,0,1,0,0,0
"adjetivo",1,0,0,0,0,0,0,0,0,0,0
"adjudicacion",1,0,0,0,0,0,0,0,0,0,0
"adjuntar",2,0,0,0,0,0,0,0,0,0,0
"adjunto",2,0,0,0,0,0,0,0,0,0,1
"administracion",3,0,0,0,0,0,0,0,1,0,1
"administrar",2,0,0,0,0,0,0,0,1,0,1
"administrativo",1,0,0,0,0,0,0,0,1,0,0
"admirable",1,1,0,0,0,0,0,0,1,0,1
"admiracion",1,1,0,0,0,0,0,0,1,0,1
"admirador",2,0,0,0,0,0,0,0,0,0,1
"admirar",1,0,0,0,0,0,0,0,1,0,1
"admisibilidad",1,0,0,0,0,0,0,0,0,0,0
"admisible",2,0,0,0,0,0,0,0,1,0,1
"admision",1,0,0,0,0,0,0,0,0,0,0
"admitido",1,0,0,0,0,0,0,0,0,0,0
"admitiendo",1,0,0,0,0,0,0,0,0,0,0
"admitir",1,0,0,0,0,0,0,0,0,0,0
"adobe",1,0,0,0,0,0,0,0,0,0,0
"adoctrinamiento",1,0,1,0,0,1,0,0,0,1,0
"adolescencia",1,0,0,0,0,0,0,0,0,0,0
"adolescente",1,0,0,0,0,0,0,0,0,0,0
"adolescentes",1,0,0,0,0,0,0,0,0,1,1
"adopcion",1,0,0,0,0,0,0,0,0,0,0
"adoptar",2,0,0,0,0,0,0,0,0,0,0
"adoquin",1,0,0,0,0,0,0,0,0,0,0
"adorable",1,1,0,0,0,0,0,0,0,0,1
"adoracion",2,1,0,1,0,1,0,0,1,0,1
"adorar",1,1,0,1,0,0,0,0,1,0,1
"adormecer",1,0,0,0,0,0,0,0,0,1,0
"adornado",1,0,0,0,0,0,0,0,0,0,1
"adornar",2,0,0,0,0,0,0,0,0,1,0
"adorno",1,0,0,0,0,0,0,0,0,0,0
"adornos",1,0,0,0,0,0,0,0,0,1,0
"adquirir",1,0,0,0,0,0,0,0,0,0,1
"adquisicion",1,0,0,0,0,0,0,0,0,0,0
"adquisiciones",1,0,0,0,0,0,0,0,0,0,0
"adquisidor",1,0,0,1,0,0,0,0,0,0,1
"adquisitivo",1,0,0,0,0,0,0,0,0,0,0
"adrede",1,0,0,0,0,0,0,0,0,0,1
"adulacion",1,0,0,0,0,0,0,0,0,0,0
"adular",1,0,0,0,0,0,0,0,0,1,0
"adulterio",1,0,0,0,1,0,1,0,0,1,0
"adulto",1,0,0,0,0,0,0,0,0,0,0
"advenedizo",1,0,0,0,0,0,0,0,0,0,0
"adversario",2,0,1,1,1,1,0,0,0,1,0
"adversidad",1,0,1,0,0,1,1,0,0,1,0
"adverso",2,0,1,0,1,1,1,0,0,1,0
"advertencia",2,0,0,0,0,1,0,0,0,0,0
"advertido",2,0,0,1,0,1,0,0,0,1,0
"advertir",1,0,0,1,0,1,0,1,1,1,0
"adviento",1,1,0,1,0,0,0,0,1,0,1
"adyacente",1,0,0,0,0,0,0,0,0,0,0
"aereo",1,0,0,0,0,0,0,0,0,0,0
"aerodeslizador",1,0,0,0,0,0,0,0,0,0,0
"aerodinamica",1,0,0,0,0,0,0,0,0,0,0
"aerodromo",1,0,0,0,0,0,0,0,0,0,0
"aerolinea",1,0,0,0,0,0,0,0,0,0,0
"aeronautica",1,0,0,0,0,0,0,0,0,0,0
"aeropuerto",1,0,0,1,0,0,0,0,0,0,0
"afable",1,0,0,0,0,0,0,0,0,0,1
"afan",1,1,0,1,0,0,0,0,1,0,1
"afectos",1,0,0,0,0,0,0,0,0,0,0
"afeitado",1,0,0,0,0,0,0,0,0,0,0
"afeitar",1,0,0,0,0,0,0,0,0,0,0
"afeminado",1,0,0,0,0,0,0,0,0,1,0
"afiche",1,0,0,0,0,0,0,0,0,0,0
"aficionado",1,0,0,0,0,0,0,0,0,0,0
"afido",1,0,0,0,1,0,0,0,0,1,0
"afijo",1,0,0,0,0,0,0,0,0,0,0
"afilado",1,0,0,0,0,0,0,0,0,0,0
"afilar",3,0,1,1,0,0,0,0,0,0,0
"afiliacion",1,0,0,0,0,0,0,0,0,0,0
"afinacion",1,0,0,0,0,0,0,0,0,0,0
"afinidad",1,0,0,0,0,0,0,0,0,0,0
"afirmacion",2,0,0,0,0,0,0,0,0,0,1
"afirmando",1,0,0,0,0,0,0,0,1,0,1
"afirmar",3,0,0,0,0,0,0,0,1,0,1
"afirmativamente",1,0,0,0,0,0,0,0,1,0,1
"afirmativo",1,0,0,0,0,0,0,0,0,0,1
"afliccion",2,0,0,0,1,1,1,0,0,1,0
"afligido",4,0,0,0,0,1,1,0,0,1,0
"afligir",2,0,0,0,0,1,1,0,0,1,0
"afligirse",1,0,0,0,0,1,1,0,0,1,0
"aflojamiento",1,0,0,0,0,0,0,0,0,0,0
"aflojar",1,0,0,0,0,0,0,0,0,0,0
"afluencia",2,1,0,0,0,0,0,0,0,0,1
"afluente",2,0,0,1,0,0,0,0,0,0,1
"aforo",1,0,0,0,0,0,0,0,1,0,0
"afortunado",2,1,0,0,0,0,0,1,0,0,1
"afrenta",1,0,1,0,1,1,1,1,0,1,0
"afueras",2,0,0,0,0,0,0,0,0,0,0
"aga",1,0,0,0,0,1,0,0,1,0,1
"agachadiza",1,0,0,0,0,0,0,0,0,0,0
"agachado",2,0,0,0,0,0,0,0,0,0,0
"agacharse",2,0,0,0,0,1,0,0,0,0,0
"agarre",1,0,0,0,0,0,0,0,0,0,0
"agata",1,0,0,0,0,0,0,0,0,0,0
"agazapado",1,0,0,0,0,1,0,0,0,1,0
"agencia",1,0,0,0,0,0,0,0,0,0,0
"agente",1,0,0,0,0,0,0,0,0,0,0
"agente de mudanzas",1,0,0,0,0,0,0,0,0,0,1
"agil",3,0,0,0,0,0,0,0,0,0,1
"agilidad",1,0,0,0,0,0,0,0,0,0,1
"agitacion",2,0,1,0,0,1,1,0,0,1,0
"agitado",4,0,1,0,0,0,0,0,0,1,0
"agitador",1,0,0,0,0,0,0,0,0,0,0
"aglomeracion",1,0,0,0,0,0,0,0,0,0,0
"agnostico",1,0,0,0,0,0,0,0,0,0,0
"agobiante",1,0,0,0,0,0,0,0,0,0,1
"agonia",1,0,1,0,0,1,1,0,0,1,0
"agonizante",1,0,0,0,0,1,0,0,0,1,0
"agosto",1,0,0,0,0,0,0,0,0,0,1
"agotado",1,0,0,0,0,0,0,0,0,0,0
"agotador",2,0,1,0,0,1,1,0,0,1,0
"agotamiento",3,0,0,1,0,0,1,0,0,1,0
"agraciado",1,0,0,0,0,0,0,0,0,0,1
"agradable",4,1,0,1,0,0,0,1,1,0,1
"agradecido",3,1,0,0,0,0,0,0,0,1,1
"agravacion",1,0,1,0,1,0,0,0,0,1,0
"agravado",1,0,1,0,0,0,0,0,0,1,0
"agravante",1,0,1,0,0,0,1,0,0,1,0
"agravio",1,0,0,0,0,0,0,0,0,1,0
"agregacion",1,0,0,0,0,0,0,0,0,0,0
"agregar",2,0,0,0,0,0,0,0,0,0,0
"agresion",2,0,1,0,0,1,0,0,0,1,0
"agresivo",1,0,1,0,0,1,0,0,0,1,0
"agresor",3,0,1,0,1,1,1,1,0,1,0
"agricola",1,0,0,0,0,0,0,0,0,0,0
"agricultura",3,0,0,0,0,0,0,0,1,0,1
"agrietado",1,0,1,0,0,1,0,0,0,1,0
"agrietamiento",1,0,0,0,0,0,0,0,0,1,0
"agrimensura",1,0,0,0,0,0,0,0,0,0,1
"agrio",1,0,0,0,1,0,0,0,0,1,0
"agrupamiento",1,0,0,0,0,0,0,0,0,0,0
"agua",3,0,0,0,0,0,0,0,0,0,0
"agua sucia",1,0,0,0,1,0,0,0,0,1,0
"aguacero",1,0,0,0,0,0,0,0,0,0,0
"aguamarina",1,0,0,0,0,0,0,0,0,0,0
"aguamiel",1,0,0,0,0,0,0,0,0,0,0
"aguanieve",1,0,0,0,0,0,0,0,0,1,0
"aguante",1,0,0,0,0,0,0,0,1,0,1
"aguas residuales",1,0,0,0,1,0,0,0,0,1,0
"agudeza",1,0,0,0,0,0,0,0,0,0,1
"agudisimo",1,0,0,0,0,1,0,0,0,1,0
"aguila",1,0,0,0,0,0,0,0,1,0,0
"aguja",2,0,0,0,0,0,0,0,0,0,1
"agujereado",1,0,0,0,0,0,0,0,0,1,0
"agujerito",1,0,0,0,0,0,0,0,0,0,0
"agujero",1,0,0,0,0,0,0,0,0,0,0
"ahogar",2,0,1,0,0,1,1,0,0,1,0
"ahogo",1,0,1,0,0,0,1,0,0,1,0
"ahondar",1,0,0,0,0,0,0,0,0,0,0
"ahorquillado",1,0,0,0,0,0,0,0,0,0,0
"ahorrar",1,1,0,0,0,0,0,0,1,0,1
"ahorrativo",1,0,0,0,0,0,0,0,0,0,0
"ahorro",2,0,0,0,1,0,0,0,1,0,1
"ahorros",1,0,0,0,0,0,0,0,0,0,1
"ahumado",2,0,0,0,0,0,0,0,0,0,0
"airado",1,0,1,0,0,0,0,0,0,1,0
"aire",1,0,0,0,0,0,0,0,0,0,0
"aire libre",1,0,0,0,0,0,0,0,0,0,0
"aireacion",1,0,0,0,0,0,0,0,0,0,0
"aires",1,0,0,0,1,0,0,0,0,1,0
"aislado",3,0,0,0,0,1,1,0,0,1,0
"aislamiento",2,0,0,0,0,0,1,0,1,1,0
"aislar",2,0,0,0,0,0,1,0,0,0,0
"ajedrez",1,0,0,0,0,0,0,0,0,0,0
"ajenjo",1,0,0,0,0,0,0,0,0,0,0
"ajetreo",1,0,0,0,0,0,0,0,0,0,0
"ajo",1,0,0,0,0,0,0,0,0,0,0
"ajustable",1,0,0,0,0,0,0,0,0,0,0
"ajustamiento",1,0,0,0,0,0,0,0,0,0,0
"ajustar",1,0,0,0,0,0,0,0,0,0,0
"al azar",2,0,0,0,0,0,0,1,0,0,0
"al campo",1,0,0,0,0,0,0,0,0,0,0
"al frente",1,0,0,0,0,0,0,0,0,0,0
"ala",1,0,0,0,0,0,0,0,0,0,0
"alabado",1,1,0,0,0,0,0,0,0,0,1
"alabastro",1,0,0,0,0,0,0,0,0,0,1
"alacena",1,0,0,0,0,0,0,0,0,0,0
"alargado",2,0,0,0,0,0,0,0,0,0,0
"alargamiento",2,0,0,0,0,0,0,0,0,0,0
"alargar",1,0,0,0,0,0,0,0,0,0,0
"alarido",1,0,0,0,0,0,0,0,0,0,0
"alarma",1,0,0,0,0,1,0,1,0,1,0
"alarmante",2,0,0,0,0,1,0,1,0,1,0
"alba",2,0,0,0,0,0,0,0,1,0,0
"alborada",1,0,0,1,0,0,0,0,0,0,0
"alboroto",1,0,1,0,0,1,0,0,0,1,0
"album",1,0,0,0,0,0,0,0,0,0,0
"alcachofa",1,0,0,0,0,0,0,0,0,0,0
"alcalde",1,0,0,0,0,0,0,0,0,0,1
"alcali",1,0,0,0,0,0,0,0,0,0,0
"alcaloides",1,0,0,0,0,0,0,0,0,0,0
"alcance",1,0,0,0,0,0,0,0,0,0,0
"alcance del oido",1,0,0,0,0,0,0,0,0,0,0
"alcantarilla",1,0,0,0,0,0,0,0,0,0,0
"alcantarillado",2,0,0,0,1,0,0,0,0,1,0
"alcanzable",1,0,0,1,0,0,0,0,0,0,1
"alcanzar",2,0,0,0,0,0,0,0,0,0,0
"alcaparra",1,0,0,0,0,0,0,0,0,0,0
"alce",2,0,0,0,0,0,0,0,0,0,0
"alcohol",1,0,0,0,0,0,0,0,0,0,0
"alcoholismo",1,0,1,0,1,1,1,0,0,1,0
"aldea",2,0,0,0,0,0,0,0,0,0,0
"aldeano",1,0,0,0,0,0,0,0,1,0,1
"aleacion",1,0,0,0,0,0,0,0,0,0,0
"aleatoriedad",1,0,0,0,0,0,0,0,0,0,0
"alegacion",1,0,1,0,0,0,0,0,0,1,0
"alegar",1,0,0,0,0,0,0,0,0,1,0
"alegoria",1,0,0,0,0,0,0,0,0,0,0
"alegorico",1,0,0,0,0,0,0,0,0,0,0
"alegrarse",1,1,0,1,0,0,0,1,1,0,1
"alegre",5,1,0,1,0,0,0,1,1,0,1
"alegria",8,1,0,1,0,0,0,1,1,0,1
"alegro",1,0,0,0,0,0,0,0,0,0,1
"alejado",1,0,1,0,0,1,1,0,0,1,0
"alejarse",1,0,0,0,0,0,0,0,0,0,0
"aleman",1,0,0,0,0,0,0,0,0,0,0
"alentar",1,1,0,0,0,0,0,0,1,0,1
"alerta",1,0,0,0,0,0,0,0,0,0,0
"alertas",1,0,0,1,0,1,0,1,0,0,0
"aleta",2,0,0,0,0,0,0,0,0,0,0
"aleteo",1,0,0,0,0,0,0,0,0,0,0
"alfabetico",1,0,0,0,0,0,0,0,0,0,0
"alfabeto",1,0,0,0,0,0,0,0,0,0,0
"alfalfa",1,0,0,0,0,0,0,0,0,0,0
"alfarero",1,0,0,0,0,0,0,0,0,0,0
"alfiler",1,0,0,0,0,0,0,0,0,0,0
"alfombra",1,0,0,0,0,0,0,0,0,0,0
"alfombrilla de raton",1,0,0,0,0,0,0,0,0,1,0
"algarabia",1,0,1,0,0,0,0,0,0,1,0
"algebra",1,0,0,0,0,0,0,0,0,0,0
"algebraico",1,0,0,0,0,0,0,0,0,0,0
"algo",1,0,0,0,0,0,0,0,0,0,0
"algodon",1,0,0,0,0,0,0,0,0,0,0
"algoritmo",1,0,0,0,0,0,0,0,0,0,0
"alguacil",3,0,0,0,0,1,0,0,1,1,0
"alharaca",1,0,0,0,0,0,0,0,0,0,0
"aliado",2,0,0,0,0,0,0,0,1,0,1
"alianza",1,0,0,0,0,0,0,0,1,0,0
"alicaido",1,0,0,0,0,0,0,0,0,0,0
"alicates",1,0,0,0,0,0,0,0,0,0,0
"alicuota",1,0,0,0,0,0,0,0,0,0,0
"alienacion",1,0,1,0,1,1,1,0,0,1,0
"alienado",1,0,0,0,0,0,1,0,0,1,0
"aliento",1,0,0,0,0,0,0,0,0,0,0
"aligerar",1,0,0,0,0,0,0,0,0,0,0
"alimanas",1,0,1,0,1,1,0,0,0,1,0
"alimentacion",1,0,0,0,0,0,0,0,0,0,1
"alimentador",1,0,0,0,0,0,0,0,0,0,0
"alimento",3,1,0,0,0,0,0,0,1,0,1
"alineacion",1,0,0,0,0,0,0,0,0,0,0
"alineado",1,0,0,0,0,0,0,0,0,0,0
"aliviando",1,0,0,0,0,0,0,0,0,0,1
"aliviar",2,0,0,0,0,0,0,0,0,0,1
"alivio",2,0,0,0,0,0,0,0,0,0,1
"alla",2,0,0,0,0,0,0,0,0,0,0
"alma",1,0,0,0,0,0,0,0,0,0,1
"alma en pena",1,0,1,0,1,1,1,0,0,1,0
"alma gemela",1,0,0,0,0,1,0,0,0,1,0
"almacen",1,0,0,0,0,0,0,0,0,0,0
"almacenamiento",1,0,0,0,0,0,0,0,0,0,0
"almacenar",1,0,0,0,0,0,0,0,0,0,0
"almanaque",1,0,0,0,0,0,0,0,0,0,0
"almeja",1,0,0,0,0,0,0,0,0,0,0
"almiar",1,0,0,0,0,0,0,0,0,0,0
"almidon",1,0,0,0,0,0,0,0,0,0,0
"almirantazgo",1,0,0,0,0,0,0,0,0,0,0
"almirante",1,0,0,0,0,0,0,0,1,0,1
"almizcle",1,0,0,0,0,0,0,0,0,0,0
"almohada",1,0,0,0,0,0,0,0,0,0,1
"almohadilla",1,0,0,0,0,0,0,0,0,0,1
"almohadon",1,0,0,0,0,0,0,0,0,0,1
